OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"44",Structure,Neuse River Trail - # 231,Existing,"231",Metal,0.01609938,11,Bridge,5,Neuse River Trail,COR,YES,OPEN,"291",{743F2177-1078-4223-984D-5BEF139341FB},0.000279899356242
"45",Trail,Neuse River Trail,Existing,NA,Asphalt,0.21719757,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{361F5730-B762-4890-879A-218EED0DFB0E},0.003646906210677
"46",Structure,Neuse River Trail - # 230,Existing,"230",Wood Decking,0.0190661,10,Boardwalk,5,Neuse River Trail,COR,YES,OPEN,"291",{39BD8F87-517C-4781-BEC7-D14438152EAD},0.000304134090577
"47",Trail,Neuse River Trail,Existing,NA,Asphalt,0.20977973,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{ECE32E00-9AB2-4BA2-9811-F4DB63D72961},0.003217103207726
"49",Structure,Neuse River Trail - # 229,Existing,"229",Wood Decking,0.02083618,10,Boardwalk,5,Neuse River Trail,COR,YES,OPEN,"291",{961B9A6E-305E-4D3F-875C-74A0219D3CE1},0.000322287959742
"50",Trail,Neuse River Trail,Existing,NA,Asphalt,0.31155058,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{7C328029-C14F-4015-BE21-DE585E1B753F},0.004755888948869
"51",Structure,Neuse River Trail - # 228,Existing,"228",Wood Decking,0.00378748,10,Boardwalk,5,Neuse River Trail,COR,YES,OPEN,"291",{A0340978-90D8-4BC8-86FD-A6C2E4F32367},5.8275340394e-05
"53",Trail,Neuse River Trail,Existing,NA,Asphalt,0.11335864,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{A1CC0698-1652-4F84-80E4-3297BEE969A2},0.001854307754101
"74",Structure,Neuse River Trail - # 232,Existing,"232",Wood Decking,0.01648346,10,Boardwalk,5,Neuse River Trail,COR,YES,OPEN,"302",{B5669454-6135-4C47-B830-E0F1DBC3502C},0.000244729958879
"406",Trail,Neuse River Trail,Existing,NA,Asphalt,0.04809502,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{30CD0C97-DC48-4BC8-9BEE-ECF7F8D02064},0.000732081626372
"407",Trail,Neuse River Trail,Existing,NA,Asphalt,0.03830056,10,NA,0,Neuse River Trail,COR,YES,OPEN,"291",{D5E7BF5F-73DD-4C3B-9C8E-6ED3811C7D98},0.000609382727972
"408",Trail,Neuse River Trail,Existing,NA,Asphalt,0.58905434,10,NA,0,Neuse River Trail,COR,YES,OPEN,"302",{3EA765D1-D29C-47B0-BD0C-FB2D9F4631A5},0.00901236410382
