OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1",Trail,Wakefield Trail,Existing,NA,Gravel,0.172757010000000,5.000000000000000,NA,0.000000000000000,Wakefield Trail,COR,NO,OPEN,"377",{45389098-0B82-4D7B-8057-863682761013},0.002528154837404
"2",Trail,Wakefield Trail,Existing,NA,Asphalt,0.341005920000000,8.000000000000000,NA,0.000000000000000,Wakefield Trail,COR,NO,OPEN,"375",{66E2A40F-F8A0-43B3-A5A5-6ADF833BFDAD},0.005147724513673
"3",Trail,Wakefield Trail,Existing,NA,Asphalt,0.292243450000000,8.000000000000000,NA,0.000000000000000,Wakefield Trail,COR,NO,OPEN,"373",{EBA4A486-62FD-4A2D-A16C-EA3BF44F5DD9},0.004544138378630
"4",Trail,Wakefield Trail,Existing,NA,Asphalt,0.488144130000000,8.000000000000000,NA,0.000000000000000,Wakefield Trail,COR,NO,OPEN,"374",{8FE6EBC5-5196-4E72-A417-41702F96E137},0.007527829256979
"5",Trail,Neuse River Trail,Existing,NA,Asphalt,1.182360610000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"299",{BA2FB4A0-8E35-4F6F-9A43-7457B21E5531},0.018560231146336
"6",Trail,Neuse River Trail,Existing,NA,Asphalt,0.155356610000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"282",{4315DF5B-3094-46ED-9F14-8EF5451C2B53},0.002264856542886
"7",Trail,Neuse River Trail,Existing,NA,Asphalt,0.141554290000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"299",{28D1B543-F376-4E14-A828-52813BCD8E6E},0.002096310549748
"8",Trail,3516 Falls River Ave,Existing,NA,Concrete,0.142113150000000,6.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,NO,OPEN,"301",{A358239E-2F95-425B-9B4D-EF1D2CDFC1C9},0.002182859453881
"9",Trail,3516 Falls River Ave,Existing,NA,Asphalt,0.069636790000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,NO,OPEN,"299",{FA6DA453-04DE-42BE-B1E3-15E094D70B9B},0.001085409205752
"10",Trail,Neuse River Trail,Existing,NA,Asphalt,0.065748950000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"286",{30750DD5-8D4B-4F10-AFE8-30D992AD422B},0.001095085169903
"11",Trail,Neuse River Trail,Existing,NA,Concrete,0.023585660000000,10.000000000000000,NA,0.000000000000000,Neuse River Trail,COR,YES,OPEN,"284",{BD24DD8A-D53D-41A8-B55B-E67F03BFB0A8},0.000414592401504
"12",Trail,Durant Segment,Existing,NA,Asphalt,0.712148440000000,10.000000000000000,NA,0.000000000000000,Simms Branch Trail,COR,YES,OPEN,"92",{F8937EB9-A266-4AC7-96D1-694A268640E7},0.011659223736270
"13",Trail,Durant Segment,Existing,NA,Asphalt,0.212048280000000,10.000000000000000,NA,0.000000000000000,Simms Branch Trail,COR,NO,OPEN,"95",{F4225D9D-D20A-4498-805F-690ACE20D73F},0.003574896766498
"14",Trail,Durant Segment,Existing,NA,Asphalt,0.254190410000000,10.000000000000000,NA,0.000000000000000,Simms Branch Trail,COR,YES,OPEN,"97",{D4A5F706-C717-4386-9E19-B62BBB776F9C},0.004300639822036
"15",Trail,Abbotts Creek Trail,Existing,NA,Asphalt,0.273213740000000,10.000000000000000,NA,0.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"12",{64E89949-BFC7-4A91-AC6C-67824ECD06F7},0.004520148481392
"16",Trail,Abbotts Creek Trail,Existing,NA,Asphalt,0.866739630000000,10.000000000000000,NA,0.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"11",{F7697E47-D756-42CD-A43F-7B78698DBA92},0.014351666776599
"17",Trail,Abbotts Creek Trail,Existing,NA,Asphalt,0.087736740000000,10.000000000000000,NA,0.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"14",{3E401041-6A3D-4F17-BC5E-514103F50B70},0.001526211778639
"18",Structure,Abbotts Creek Trail - # 204,Existing,"204",Wood Decking,0.075322360000000,10.000000000000000,Boardwalk,5.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"14",{5176C1B2-5E96-4E80-835A-D041C8A9A0B7},0.001292064847304
"19",Structure,Abbotts Creek Trail - # 205,Existing,"205",Wood Decking,0.118496540000000,10.000000000000000,Boardwalk,5.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"14",{2D08E075-4BD5-4B2C-9078-06999A546310},0.002037676437620
"20",Trail,Abbotts Creek Trail,Existing,NA,Asphalt,0.107474220000000,10.000000000000000,NA,0.000000000000000,Abbotts Creek Trail,COR,YES,OPEN,"282",{7EBD1B75-C348-4FBA-A76F-8F0F24FDFEF1},0.001860335371119
